date,cumulative_Evaporation,average_soilTemperatureLevel,cumulative_Sub-surfaceRunoff,average_TemperatureOfSnowLayer,average_SnowDepth,average_VolumetricSoilWaterLayer,cumulative_precipitation,OT
2018/7/16,-0.0359858036972582,287.4941626654731,0.0078010559082031,273.1338331434462,0.0,0.3673247146523661,0.0381574630737304,3.109164026509575
2018/7/22,-0.0359858036972582,287.4941626654731,0.0078010559082031,273.1338331434462,0.0,0.3673247146523661,0.0381574630737304,3.759030534742692
2018/7/28,-0.0401937016285955,289.2747921413846,0.0076683759689331,273.1203375922309,0.0,0.3417812818661332,0.0097265243530273,0.6073716854175473
2018/8/3,-0.0401937016285955,289.2747921413846,0.0076683759689331,273.1203375922309,0.0,0.3417812818661332,0.0097265243530273,0.1587395347337405
2018/8/9,-0.0430836346931755,291.249274359809,0.0073660612106323,273.08698187934027,0.0,0.2972390281502157,0.0085315704345703,1.1480885716578086
2018/8/15,-0.0430836346931755,291.249274359809,0.0073660612106323,273.08698187934027,0.0,0.2972390281502157,0.0085315704345703,2.2613548497926104
2018/8/21,-0.0432326192967593,289.465091281467,0.0070984363555908,273.129633585612,0.0,0.3785821404825482,0.1060256958007812,-0.6442159213523837
2018/8/27,-0.0432326192967593,289.465091281467,0.0070984363555908,273.129633585612,0.0,0.3785821404825482,0.1060256958007812,-0.4185683007616489
2018/9/2,-0.0422190390527248,291.87332831488715,0.0068135261535644,273.0958692762587,0.0,0.3363044624889477,0.0279102325439453,1.224496451359414
2018/9/8,-0.0422190390527248,291.87332831488715,0.0068135261535644,273.0958692762587,0.0,0.3363044624889477,0.0279102325439453,2.9488768984182343
2018/9/14,-0.046726529020816,292.6259986029731,0.0065078735351562,273.100084092882,0.0,0.3371147895231843,0.0190534591674804,0.8290971161850393
2018/9/20,-0.046726529020816,292.6259986029731,0.0065078735351562,273.100084092882,0.0,0.3371147895231843,0.0190534591674804,0.6457779259629888
2018/9/26,-0.043484020512551,293.9627838134766,0.0061454772949218,273.0767550998264,0.0,0.3388061627435187,0.0903139114379882,-3.765648338298092
2018/10/2,-0.043484020512551,293.9627838134766,0.0061454772949218,273.0767550998264,0.0,0.3388061627435187,0.0903139114379882,-3.3249663497508664
2018/10/8,-0.0433223168365657,290.2435133192274,0.006044864654541,273.0526190863715,0.0,0.3899717839020821,0.1349658966064453,-2.12596845592509
2018/10/14,-0.0433223168365657,290.2435133192274,0.006044864654541,273.0526190863715,0.0,0.3899717839020821,0.1349658966064453,-2.636395859097888
2018/10/20,-0.0500850793905556,293.6872745090061,0.0056624412536621,273.01633707682294,0.0,0.340424501673422,0.0555171966552734,-2.0230198532411805
2018/10/26,-0.0500850793905556,293.6872745090061,0.0056624412536621,273.01633707682294,0.0,0.340424501673422,0.0555171966552734,-2.3063629131551124
