date,cumulative_Evaporation,average_soilTemperatureLevel,cumulative_Sub-surfaceRunoff,average_TemperatureOfSnowLayer,average_SnowDepth,average_VolumetricSoilWaterLayer,cumulative_precipitation,OT
2015/3/30,-0.0171410946641117,280.0903557671441,0.0095864534378051,272.9588741726346,1.3301769892374674e-05,0.3795581952694596,0.0504541397094726,5.277745453757331
2015/4/11,-0.024257663404569,280.117182413737,0.0088794231414794,272.72474887635974,0.0001359085241953,0.3382142829424184,0.0081677436828613,1.6489203696850554
2015/4/23,-0.0260451177600771,283.67762671576605,0.0079643726348876,273.12913004557294,1.25832027859158e-07,0.2959601687551993,0.0225386619567871,-6.672694803938148
2015/5/5,-0.0214372095651924,285.2015414767795,0.0068024098873138,273.1507000393338,0.0,0.3343990965901564,0.0431699752807617,-15.00080254415619
2015/5/17,-0.0325728352181613,288.7537104288737,0.0057830810546875,273.142578125,0.0,0.3122834708725956,0.0395722389221191,-14.918614411828372
2015/5/29,-0.034324845066294,286.44986809624567,0.0049604177474975,273.13997565375433,0.000153405798806,0.3780056034447625,0.0786409378051757,-19.865867516946768
2015/6/10,-0.0398673436138778,291.2106391059027,0.0043834447860717,273.127446492513,0.0,0.3168552095173961,0.0187201499938964,-10.19558277237794
2015/6/22,-0.0400084103457629,290.2623129950629,0.0038639307022094,273.1414676242405,0.0,0.3611269493121654,0.1031074523925781,-10.372845299220502
2015/7/4,-0.0427617027889937,291.9360699123807,0.0035383701324462,273.11439259847003,0.0,0.3404824648104194,0.0261588096618652,-4.144562366847372
2015/7/16,-0.0444619304034858,294.74252743191187,0.0032117366790771,273.1050092909071,0.0,0.3050061121272544,0.0324087142944335,5.26156562004932
2015/7/28,-0.0454854106064885,295.5535922580296,0.0028553009033203,273.0779995388455,0.0,0.3062590257419894,0.030644416809082,1.427112421034697
2015/8/9,-0.0427399543114006,293.9970253838433,0.0026047229766845,273.07224019368493,0.0,0.3326106033960564,0.0394325256347656,20.14148710133984
2015/8/21,-0.0397131701465696,292.60589684380426,0.0023213624954223,272.9916619194878,0.0,0.3278082576450995,0.073521614074707,16.12837188300123
2015/9/2,-0.0348809163551777,291.6030714246962,0.0021600723266601,273.1125395033094,0.0,0.3399916429124358,0.0247602462768554,11.264536547126005
2015/9/14,-0.0258941145148128,288.332282172309,0.0020268559455871,273.1184717814128,0.0,0.330699919270248,0.0834822654724121,23.924140603904984
2015/9/26,-0.0240014321170747,288.27710215250653,0.0019218921661376,273.1339586046008,0.0,0.3687950119557273,0.0377430915832519,13.504923795409209
2015/10/8,-0.0170829247217625,285.4111336602105,0.0018722414970397,273.12852647569446,0.0,0.3806667486076347,0.0504631996154785,8.00134488737905
2015/10/20,-0.0147028532810509,284.0663121541341,0.0025585293769836,273.1240437295702,7.377730475531683e-06,0.4003606487660565,0.0927796363830566,-3.842632460542726
2015/11/1,-0.0123368289787322,281.3743438720704,0.0031005144119262,273.1360342237684,0.0,0.3728900720856876,0.0380926132202148,-15.96181831080967
2015/11/25,-0.0151277270633727,279.28247960408527,0.0090106129646301,272.3699771828122,3.813703854878744e-05,0.35049559025275,0.0200705528259277,-8.044754839292862
2015/12/7,-0.0040040884632617,274.611078898112,0.0048134922981262,271.48985603120593,0.0004254579544067,0.3543369743791926,5.3882598876953125e-05,-5.11970134200714
2015/12/19,-0.0029599561821669,274.187745836046,0.0047903060913085,272.61232037014435,0.0001020034154256,0.3403989313859104,0.0002479553222656,-5.749527971056615
2016/1/12,-0.0046880890149623,274.3089336819119,0.0093949437141418,271.3724930551317,0.0010755492581261,0.3452633497007708,0.0474019050598144,-9.1287279920779
2016/1/24,-0.0047694793902337,273.80721457799274,0.0046528577804565,269.9608902931213,0.0009823673301272,0.3616752997170099,0.0009126663208007,-6.419572338165636
2016/2/5,-0.0046681778039783,275.71175045437286,0.0045718848705291,272.2232200304668,0.0003509091006384,0.3392466417636671,0.0060920715332031,-7.631869346176838
2016/2/17,-0.006284286500886,276.2384431627061,0.0052936077117919,271.81106493208136,0.0032609833611382,0.3961326319064635,0.1191611289978027,-2.122075136330242
2016/2/29,-0.0087478870991617,277.2535883585612,0.0090439617633819,272.09889396031696,0.0027377804120381,0.3915652846270758,0.111304759979248,4.9899854952649605
2016/3/12,-0.0111779223661869,276.9510820176866,0.0204395055770874,271.3799565633139,0.0047731035285525,0.3977140720364534,0.0932207107543945,3.496095220049241
2016/3/24,-0.0176669298671185,278.81036885579425,0.0246005654335021,272.04107141494745,0.0004886024528079,0.3532569016355815,0.0141758918762207,5.1869929518606455
2016/4/5,-0.0188141271937638,282.704465230306,0.0198667049407959,272.97104136149085,0.0004758636156717,0.3238890094993016,0.0040650367736816,0.904735142859824
2016/4/17,-0.023550882237032,283.8641179402669,0.0147421956062316,273.12978363037104,7.861190372043186e-06,0.3299446622323658,0.0365967750549316,1.8341525582124696
2016/4/29,-0.0274931520689278,282.778453403049,0.0108516812324523,272.8959950341119,0.0002288884586758,0.3530723210941586,0.0326189994812011,2.8909999634964656
2016/5/11,-0.0293227238580584,284.2844161987304,0.0083310008049011,273.1476977666219,0.0,0.3469059190505908,0.0563001632690429,2.9958092182979
2016/5/23,-0.031794014852494,284.8902494642469,0.0071251988410949,273.1475541856554,0.0,0.3999729382598565,0.1426272392272949,3.778827725385472
2016/6/4,-0.0383630513679236,287.9114261203342,0.0067282915115356,273.14679378933374,0.0,0.3928626965886603,0.0815420150756836,3.1140610865784346
2016/6/28,-0.0853284415788948,290.3417570326063,0.0179238319396972,273.14675013224286,0.0,0.3869930765682107,0.148564338684082,3.0244931847384784
