date,OT
2015/3/22,-2.853178143927109
2015/4/3,-3.6087669043941366
2015/4/15,-4.494842543792896
2015/4/27,-5.521064755052891
2015/5/9,-6.604356294389242
2015/5/21,-7.772618966306567
2015/6/2,-8.956197842905938
2015/6/14,-10.140958178302611
2015/6/26,-11.381409476589717
2015/7/8,-12.656829849143032
2015/7/20,-13.990563984767912
2015/8/1,-15.38784896054971
2015/8/13,-16.81915964880066
2015/8/25,-18.290044334636637
2015/9/6,-19.885034695745
2015/9/18,-21.60794822958357
2015/9/30,-23.42243372453348
2015/10/12,-25.35091300052761
2015/10/24,-27.33818038181106
2015/11/5,-29.38131190127055
2015/11/17,-31.52728428619396
2015/11/29,-33.764798502219094
2015/12/23,-36.29697649728955
2016/1/4,-39.151335232899896
2016/1/16,-42.22610201703726
2016/1/28,-45.58299883879654
2016/2/9,-49.118980299938926
2016/2/21,-52.831336451566926
2016/3/4,-56.82945517304099
2016/3/16,-61.09696107026799
2016/3/28,-65.47327962810267
2016/4/9,-69.96312764251068
2016/4/21,-74.63773960322625
2016/5/3,-79.46130569935492
2016/5/15,-84.5638480456721
2016/5/27,-89.95854151458829
2016/6/8,-95.55466833282532
2016/7/14,-101.38525941033512
2016/7/26,-106.69379521516277
2016/8/7,-111.39638303631835
2016/8/19,-115.87400590751749
2016/8/31,-119.90716977958728
2016/9/12,-123.91360874311852
2016/9/24,-127.91423246159356
2016/9/30,-131.50135253600374
2016/10/6,-134.75210648086104
2016/10/18,-138.2516544752679
2016/10/30,-141.99073125817674
2016/11/11,-145.7304462949135
2016/11/23,-149.60874947799678
2016/12/5,-153.16351161027387
2016/12/17,-156.35835117706236
2016/12/29,-159.53127783115588
2017/1/10,-162.5729434952788
2017/2/3,-166.3280168032342
2017/2/15,-170.91429367393795
2017/2/27,-175.85296189552457
2017/3/11,-181.3940179118508
2017/3/17,-187.12530075464585
2017/3/23,-193.0179663651083
2017/3/29,-199.5044749459701
2017/4/4,-206.50868122005792
2017/4/10,-213.28981639536715
2017/4/16,-219.84828395317365
2017/4/22,-226.4988327995064
2017/4/28,-233.0626278819361
2017/5/4,-240.0970532100105
2017/5/10,-247.6458653534648
2017/5/16,-255.28891247010824
2017/5/22,-263.1561545371504
2017/5/28,-271.2414250669585
2017/6/3,-279.50227108810617
2017/6/9,-288.03893322444003
2017/6/15,-296.84176408272594
2017/6/21,-305.8220726937282
2017/6/27,-314.9914159926455
2017/7/3,-324.3863901078829
2017/7/9,-333.9920107551693
2017/7/15,-343.9789090367814
2017/7/21,-354.3669076845523
2017/7/27,-365.0664670450413
2017/8/2,-376.1268891455374
2017/8/8,-387.4666879156172
2017/8/14,-399.0813693384168
2017/8/20,-411.05636375629336
2017/8/26,-423.3772934254337
2017/9/1,-434.8614585586192
2017/9/7,-445.4026986076694
2017/9/13,-455.5485714669397
2017/9/19,-464.96220409871466
2017/9/25,-474.3477170445739
2017/10/1,-483.7342921873555
2017/10/7,-492.4657819538757
2017/10/13,-500.6734668879142
2017/10/19,-509.17842269321073
2017/10/25,-517.9571760262672
2017/10/31,-526.6889611108774
2017/11/6,-535.5639173948074
2017/11/12,-543.9079485621897
2017/11/18,-551.6689815770138
2017/11/24,-559.3294527061535
2017/11/30,-566.72882456831
2017/12/6,-574.4002993132256
2017/12/12,-582.4402420614163
2017/12/24,-590.4744033331862
2017/12/30,-598.6615252850227
2018/1/5,-606.7957275157936
2018/1/11,-614.8457220486034
2018/1/17,-623.0541870434473
2018/1/23,-631.3777613883391
2018/1/29,-639.2416097594129
2018/2/4,-646.6285223409309
2018/2/10,-653.785966440269
2018/2/16,-660.5662276461173
2018/2/22,-667.3631010001619
2018/2/28,-674.2015552018318
2018/3/6,-680.7606442166472
2018/3/12,-687.1253304124975
2018/3/18,-694.263735787589
2018/3/24,-702.2350150538535
2018/3/30,-710.6431394690343
2018/4/5,-719.7567775224699
2018/4/11,-728.9391573758504
2018/4/17,-738.1695074756904
2018/4/23,-748.0072253976421
2018/4/29,-758.33163841716
2018/5/5,-768.5604162652666
2018/5/11,-778.7208824196492
2018/5/17,-789.0222947015496
2018/5/23,-799.3327441078418
2018/5/29,-810.1579642183816
2018/6/4,-821.5347818570214
2018/6/10,-833.1109079455539
2018/6/16,-845.006993910392
2018/6/22,-856.8680692861321
2018/6/28,-868.6292019301663
2018/7/4,-880.5512841225867
2018/7/10,-892.5300341384667
2018/7/16,-904.697022800922
2018/7/22,-917.076572408192
2018/7/28,-929.5127875989928
2018/8/3,-942.0356332644722
2018/8/9,-955.0370312191422
2018/8/15,-968.5317659983216
2018/8/21,-982.3534736940788
2018/8/27,-996.6048670615572
2018/9/2,-1011.0237689570688
2018/9/8,-1025.5957494139764
2018/9/14,-1040.5398618915071
2018/9/20,-1055.801546382531
2018/9/26,-1070.3438896320192
2018/10/2,-1084.0898755363344
2018/10/8,-1097.4900121817093
2018/10/14,-1110.253138145665
2018/10/20,-1123.0324237338298
2018/10/26,-1135.851972613704
2018/11/1,-1148.123388920672
2018/11/7,-1159.9698299106587
2018/11/13,-1172.0632926063754
2018/11/19,-1184.3791125026296
2018/11/25,-1196.6655053283266
2018/12/1,-1209.076806199959
2018/12/7,-1221.046640843265
2018/12/13,-1232.5329145809303
2018/12/19,-1243.9363549479915
2018/12/25,-1255.1222995411306
2018/12/31,-1267.0214030392765
2019/1/6,-1279.7632187641186
2019/1/12,-1292.807620845644
2019/1/18,-1306.4279751251331
2019/1/24,-1320.174322119503
2019/1/30,-1334.0105833754487
2019/2/5,-1348.4071189352944
2019/2/11,-1363.278022206747
2019/2/17,-1377.7989245104734
2019/2/23,-1391.966364112562
2019/3/1,-1406.127004783294
2019/3/7,-1420.079173582275
2019/3/13,-1434.4352456228887
2019/3/19,-1449.2403944235043
2019/3/25,-1464.0264855409278
2019/3/31,-1478.9337355712082
2019/4/6,-1494.0006464756566
2019/4/12,-1509.1818075237338
2019/4/24,-1524.5618031026409
2019/4/30,-1540.1406992140628
2019/5/6,-1555.789165753784
2019/5/12,-1571.5155851621828
2019/5/18,-1587.3838721053453
2019/5/24,-1603.3690816892254
2019/5/30,-1619.622023886414
2019/6/5,-1636.1623236008531
2019/6/11,-1652.901591532809
2019/6/17,-1669.8831126068178
2019/6/23,-1687.041784354381
2019/6/29,-1704.371681239956
2019/7/5,-1721.9438401057712
2019/7/11,-1739.745907891751
2019/7/17,-1757.3190088809663
2019/7/23,-1774.6285349405684
2019/7/29,-1791.8837475578018
2019/8/4,-1808.957057250342
2019/8/10,-1826.132244019316
2019/8/16,-1843.422904411164
2019/8/22,-1860.573843517206
2019/8/28,-1877.6403462803044
2019/9/3,-1894.9245724672169
2019/9/9,-1912.4181378449057
2019/9/15,-1930.009555651625
2019/9/21,-1947.7699386528795
2019/9/27,-1965.4504580153343
2019/10/3,-1983.0343754118792
2019/10/9,-2000.701852470137
2019/10/15,-2018.395303196067
2019/10/21,-2035.9988640252848
2019/10/27,-2053.5175735469124
2019/11/2,-2070.9620979603515
2019/11/8,-2088.301232856719
2019/11/14,-2105.6412008773937
2019/11/20,-2122.9783649290835
2019/11/26,-2140.229938142762
2019/12/2,-2157.4137098429887
2019/12/8,-2174.5461180329307
2019/12/14,-2191.615592024263
2019/12/20,-2208.6224278496807
2019/12/26,-2225.565489875887
2020/1/1,-2242.4054777784263
2020/1/7,-2259.1372494814736
2020/1/13,-2275.775758685492
2020/1/19,-2292.3085266685184
2020/1/25,-2309.555008244069
2020/1/31,-2327.596395584745
2020/2/6,-2346.036585506113
2020/2/12,-2365.1105890783406
2020/2/18,-2384.346716076843
2020/2/24,-2403.7229839346533
2020/3/1,-2423.68736423926
2020/3/7,-2444.151820357756
2020/3/13,-2464.5168928476623
2020/3/19,-2484.7954185639906
2020/3/25,-2505.226000410827
2020/3/31,-2525.668180216708
2020/4/6,-2546.603885278096
2020/4/12,-2568.0701879488256
2020/4/18,-2589.7175921404705
2020/4/24,-2611.660100269835
2020/4/30,-2633.78942979798
2020/5/6,-2656.0630437732902
2020/5/12,-2678.61938940676
2020/5/18,-2701.423302425237
2020/5/24,-2724.4633454017344
2020/5/30,-2747.755196055276
2020/6/5,-2771.275597935834
2020/6/11,-2795.0262702915115
2020/6/17,-2819.223430402752
2020/6/23,-2843.884506646223
2020/6/29,-2868.9100632234868
2020/7/5,-2894.3605839771603
2020/7/11,-2920.113118408577
2020/7/17,-2946.162393524481
2020/7/23,-2972.6241321584675
2020/7/29,-2999.475504171975
2020/8/4,-3025.1814396666337
2020/8/10,-3049.6031557786077
2020/8/16,-3073.447379398283
2020/8/22,-3096.275703817294
2020/8/28,-3119.0024713507714
2020/9/3,-3141.663778069122
2020/9/9,-3163.405707901181
2020/9/15,-3184.3974743181534
2020/9/21,-3205.705632211545
2020/9/27,-3227.2984076015805
2020/10/3,-3248.757070975667
2020/10/9,-3270.3276037284227
2020/10/15,-3291.131862046304
2020/10/21,-3311.1007347621044
2020/10/27,-3330.860392355355
2020/11/2,-3350.200660183488
2020/11/8,-3370.863820198193
2020/11/14,-3393.08194766544
2020/11/20,-3415.8760709360945
2020/11/26,-3439.75723541896
2020/12/2,-3463.8555164317254
2020/12/8,-3488.1086808302684
2020/12/14,-3513.4119108965738
2020/12/20,-3539.601144907805
2020/12/26,-3565.1746115713604
2021/1/1,-3590.132608188136
2021/1/7,-3615.104068629658
2021/1/13,-3639.724752272984
2021/1/19,-3665.125566555132
2021/1/25,-3691.391756724128
2021/1/31,-3717.667809797125
2021/2/6,-3744.215015421711
2021/2/12,-3770.3006539680864
2021/2/18,-3795.762076093519
2021/2/24,-3821.135475278286
2021/3/2,-3846.1895974110585
2021/3/8,-3871.15174583
2021/3/14,-3896.056471987509
2021/3/20,-3920.5787623435526
2021/3/26,-3944.758042995519
2021/4/1,-3969.450340752488
2021/4/7,-3994.6766002799513
2021/4/13,-4020.042488231658
2021/4/19,-4045.761491391856
2021/4/25,-4071.243043024536
2021/5/1,-4096.438373881856
2021/5/7,-4121.815468514439
2021/5/13,-4147.238709956885
2021/5/19,-4173.091253939695
2021/5/25,-4199.464328883115
2021/5/31,-4226.080818230752
2021/6/6,-4253.065555539532
2021/6/12,-4280.306510480069
2021/6/18,-4307.789748375649
2021/6/24,-4335.688099084739
2021/6/30,-4363.9856963076445
2021/7/6,-4392.22101413258
2021/7/12,-4420.385376407831
2021/7/18,-4448.698073124927
2021/7/24,-4477.046431301381
2021/7/30,-4505.753466354665
2021/8/5,-4534.849328992889
2021/8/11,-4564.083746191731
2021/8/17,-4593.533651827561
2021/8/23,-4622.707742204709
2021/8/29,-4651.530451058101
2021/9/4,-4680.289624775312
2021/9/10,-4708.837406485955
2021/9/16,-4737.4023382789
2021/9/22,-4766.000949309048
