date,OT
2015/2/9,7.927227270682106
2015/2/21,7.783643412979161
2015/3/5,7.618206479459394
2015/3/17,7.429489361962128
2015/3/29,7.22928456299537
2015/4/10,7.013478279689319
2015/4/22,6.448689031418087
2015/5/4,5.50150005587742
2015/5/16,4.324433075189809
2015/6/9,2.8203474630152447
2015/7/3,1.1822047843448835
2015/7/15,-0.584254564127384
2015/8/8,-2.664804701539698
2015/8/20,-5.0255910246700495
2015/9/1,-7.432661571385209
2015/9/13,-9.894516242464238
2015/10/31,-12.506916080885064
2015/11/12,-15.217329764488786
2015/11/24,-18.220709279343662
2015/12/6,-21.53443549263456
2015/12/18,-25.0225279872119
2015/12/30,-28.73321646426929
2016/1/11,-32.06602060578383
2016/1/23,-34.94926406862319
2016/2/4,-37.70275659911536
2016/2/16,-40.15217977157392
2016/2/28,-42.616322070068406
2016/3/11,-45.11506213186654
2016/3/23,-47.332159212505054
2016/4/4,-49.32787618578786
2016/4/16,-51.59213066332362
2016/4/28,-54.12185493134756
2016/5/10,-56.71608236194041
2016/5/22,-59.49268687797618
2016/6/3,-62.07516094121902
2016/6/15,-64.43541788650921
2016/7/9,-66.85504099133937
2016/7/21,-69.24671849162226
2016/8/2,-71.59172886237309
2016/8/14,-73.91610670722174
2016/8/26,-76.16334168720736
2016/9/7,-78.33319335694344
2016/9/19,-80.49887009174374
2016/10/1,-82.65310334388622
2016/10/7,-84.75833194849571
2016/10/13,-86.82708531162783
2016/10/19,-88.76407029528666
2016/10/25,-90.55574506454454
2016/10/31,-92.25430313742451
2016/11/6,-93.8312177080455
2016/11/12,-95.32600922836966
2016/11/18,-96.7405054637226
2016/11/24,-98.0285076520158
2016/11/30,-99.19608547653198
2016/12/6,-100.57936126683694
2016/12/12,-102.20350878179654
2016/12/18,-103.91219934418164
2016/12/24,-105.7983398922291
2016/12/30,-107.65354291951456
2017/1/5,-109.46661767615716
2017/1/11,-111.42364659710375
2017/1/23,-113.48317293984768
2017/1/29,-115.4177134928797
2017/2/4,-117.23193408276823
2017/2/16,-119.00892959031609
2017/2/22,-120.69414455593102
2017/2/28,-122.47173020650152
2017/3/6,-124.3530690302854
2017/3/12,-126.20242630648453
2017/3/18,-128.06151068646787
2017/3/24,-130.1139715616127
2017/3/30,-132.36491810476593
2017/4/5,-134.75913540323
2017/4/11,-137.34732952865187
2017/4/17,-139.99273250435385
2017/4/23,-142.6949201836074
2017/4/29,-145.56883243518703
2017/5/5,-148.5899951516699
2017/5/11,-151.67464981244547
2017/5/17,-154.83246482197552
2017/5/23,-158.0907437511273
2017/5/29,-161.43317141036718
2017/6/4,-164.94575878629772
2017/6/10,-168.6361638545196
2017/6/16,-172.4512235242549
2017/6/22,-176.41322906754732
2017/6/28,-180.27607491682625
2017/7/4,-184.01257001175992
2017/7/10,-187.75712634123184
2017/7/16,-191.4400060182385
2017/7/22,-195.1945702247944
2017/7/28,-199.0312556264425
2017/8/3,-202.8220090047499
2017/8/9,-206.59383328687093
2017/8/15,-210.54759932184555
2017/8/21,-214.68391471530785
2017/8/27,-218.9236504309976
2017/9/2,-223.3166418408357
2017/9/8,-227.71181864741183
2017/9/14,-232.09986734155345
2017/9/20,-236.5972212328018
2017/9/26,-241.17043481868285
2017/10/2,-245.5961911764443
2017/10/8,-249.86468742463344
2017/10/14,-254.05677691675112
2017/10/20,-258.11095963089537
2017/10/26,-262.18362263020697
2017/11/1,-266.27803504529726
2017/11/13,-270.2605030504275
2017/11/25,-274.1602042186202
2017/12/1,-278.0966651957768
2017/12/7,-282.06144775440566
2017/12/13,-286.01379136592954
2017/12/19,-289.97958542602515
2017/12/25,-293.8482760004017
2017/12/31,-297.6114181001715
2018/1/6,-301.3429026249552
2018/1/12,-305.0156733264102
2018/1/18,-308.8884244360757
2018/1/24,-312.99270798892627
2018/1/30,-317.1855584764092
2018/2/5,-321.5416354614443
2018/2/11,-325.9266153505424
2018/2/17,-330.3305687389305
2018/2/23,-334.88722403000617
2018/3/1,-339.5704079739406
2018/3/7,-344.16464726037714
2018/3/13,-348.66992098257856
2018/3/19,-353.1740209320412
2018/3/25,-357.62427675765923
2018/3/31,-362.1833325946452
2018/4/6,-366.86253531299576
2018/4/12,-371.538135609614
2018/4/18,-376.2471044107588
2018/4/24,-381.02194516387
2018/4/30,-385.8528703774271
2018/5/6,-390.7515854436202
2018/5/12,-395.72453862254326
2018/5/18,-400.7243401448365
2018/5/24,-405.7526256593743
2018/5/30,-410.8387116797208
2018/6/5,-415.9735412954557
2018/6/11,-421.1797277064135
2018/6/17,-426.4627384925508
2018/6/23,-431.8060998311271
