date,OT
2015/3/22,-0.541674818344736
2015/4/3,-0.934725206833753
2015/4/15,-1.3946620091376896
2015/4/27,-1.9264015468493376
2015/5/9,-2.487849410379165
2015/5/21,-3.093170432780349
2015/6/2,-3.56819010884116
2015/6/14,-3.8914678279663866
2015/6/26,-4.155571392509934
2015/7/8,-4.309555283819275
2015/7/20,-4.444730249377149
2015/8/1,-4.566439923474948
2015/8/13,-4.5829109285276175
2015/8/25,-4.51103520942842
2015/9/6,-4.493230277840659
2015/9/18,-4.52827118111546
2015/9/30,-4.556964230159967
2015/10/12,-4.613276573766638
2015/10/24,-4.58724032687306
2015/11/5,-4.470234802379862
2015/11/17,-4.343846555147426
2015/11/29,-4.182247357793844
2015/12/23,-4.501790954552619
2016/1/4,-5.36340339876032
2016/1/16,-6.506136511391699
2016/1/28,-8.081649341117568
2016/2/9,-9.812069834028264
2016/2/21,-11.6848375655607
2016/3/4,-13.977489554684722
2016/3/16,-16.64039727217822
2016/3/28,-19.271028266830506
2016/4/9,-21.87698118524847
2016/4/21,-24.62643671762885
2016/5/3,-27.425751668652563
2016/5/15,-30.59440647174744
2016/5/27,-34.159441739065166
2016/6/8,-37.8897985492212
2016/7/14,-41.862497701224335
2016/7/26,-45.64929965326118
2016/8/7,-49.18643001710329
2016/8/19,-52.734474552386416
2016/8/31,-56.16720404950139
2016/9/12,-59.68353923407274
2016/9/24,-63.30218466127808
2016/9/30,-66.81091567224084
2016/10/6,-70.24859303384972
2016/10/18,-74.01888972963826
2016/10/30,-78.12680142456965
2016/11/11,-82.4016557172405
2016/11/23,-86.94384714836363
2016/12/5,-91.46053792232662
2016/12/17,-95.93116013609604
2016/12/29,-100.58402091496616
2017/1/10,-105.3532979081434
2017/2/3,-110.26640653254628
2017/2/15,-115.35177581652763
2017/2/27,-120.5497567084255
2017/3/11,-125.87509209970084
2017/3/17,-131.36662550301926
2017/3/23,-137.0213256312564
2017/3/29,-142.83478331879826
2017/4/4,-148.81639880576833
2017/4/10,-154.86215943052994
2017/4/16,-160.96534303364544
2017/4/22,-167.1840973693202
2017/4/28,-173.4918061746166
2017/5/4,-179.94869840741725
2017/5/10,-186.5618083068296
2017/5/16,-193.27954652909855
2017/5/22,-200.11629881731653
2017/5/28,-206.9182387243627
2017/6/3,-213.66357794765585
2017/6/9,-220.43468809098795
2017/6/15,-227.18509840857905
2017/6/21,-233.99179048270196
2017/6/27,-240.8583067077464
2017/7/3,-247.70317649669977
2017/7/9,-254.53950810495547
2017/7/15,-261.5018024067863
2017/7/21,-268.5886711166459
2017/7/27,-275.7414168197546
2017/8/2,-282.9915680622461
2017/8/8,-290.2351860302239
2017/8/14,-297.46301161078924
2017/8/20,-304.7510721764125
2017/8/26,-312.0741835675157
2017/9/1,-319.15626940156085
2017/9/7,-325.97546702745774
2017/9/13,-332.64104579509024
2017/9/19,-339.07312107134226
2017/9/25,-345.4446443391409
2017/10/1,-351.75752700611395
2017/10/7,-357.85110818883913
2017/10/13,-363.75481987262623
2017/10/19,-369.6339150273221
2017/10/25,-375.4771741393965
2017/10/31,-381.2187142498577
2017/11/6,-386.8931013088578
2017/11/12,-392.3510563971408
2017/11/18,-397.5779163347037
2017/11/24,-402.6715176417554
2017/11/30,-407.59325003543074
2017/12/6,-413.0304399225333
2017/12/12,-419.0586057847792
2017/12/24,-425.3234656858298
2017/12/30,-432.0228043451793
2018/1/5,-438.77790000016574
2018/1/11,-445.5665877665714
2018/1/17,-452.7557540723428
2018/1/23,-460.2732992134973
2018/1/29,-467.5798748645862
2018/2/4,-474.6808226986776
2018/2/10,-481.793401276076
2018/2/16,-488.7882890921037
2018/2/22,-496.0851899795296
2018/2/28,-503.7147862540656
2018/3/6,-511.3649651457537
2018/3/12,-519.1329764986863
2018/3/18,-527.1085988293231
2018/3/24,-535.2703282401365
2018/3/30,-543.6489923220281
2018/4/5,-552.2651773365465
2018/4/11,-560.9981883263
2018/4/17,-569.8550082197592
2018/4/23,-578.9158312111078
