date,OT
2015/3/22,-0.0160297660318102
2015/4/3,-0.1511066893191745
2015/4/15,-0.3118974710839615
2015/4/27,-0.5004073363930617
2015/5/9,-0.6991213987859973
2015/5/21,-0.9138476834014796
2015/6/2,-0.9470309450871124
2015/6/14,-0.7768242283607908
2015/6/26,-0.5001026664710057
2015/7/8,-0.0591841325311326
2015/7/20,0.4364450601258004
2015/8/1,0.982222020498029
2015/8/13,1.6855672451333166
2015/8/25,2.526852013124177
2015/9/6,3.357233466218801
2015/9/18,4.180142928095753
2015/9/30,5.056999785329782
2015/10/12,5.953394635162133
2015/10/24,6.98898844103375
2015/11/5,8.173873706428827
2015/11/17,9.422153865430566
2015/11/29,10.76275378190592
2015/12/23,11.750678648810611
2016/1/4,12.332971338984304
2016/1/16,12.74042724019641
2016/1/28,12.843004001834135
2016/2/9,12.87832562758033
2016/2/21,12.859040080348406
2016/3/4,12.548323916527057
2016/3/16,11.989741616230418
2016/3/28,11.538238283866445
2016/4/9,11.189292279647267
2016/4/21,10.79578409679861
2016/5/3,10.4416413063591
2016/5/15,9.849531066051211
2016/5/27,8.99726410022382
2016/6/8,8.088654346006074
2016/7/14,7.058028917791828
2016/7/26,6.095234511616917
2016/8/7,5.238554004384679
2016/8/19,4.348846260989825
2016/8/31,3.483899001594581
2016/9/12,2.577925719880466
2016/9/24,1.6198123235491622
2016/9/30,0.6938113396191483
2016/10/6,-0.2135540905804573
2016/10/18,-1.32055391801125
2016/10/30,-2.634199868945993
2016/11/11,-4.058085263083004
2016/11/23,-5.6481818840408895
2016/12/5,-7.256463644931268
2016/12/17,-8.872874322790967
2016/12/29,-10.61819157498409
2017/1/10,-12.460130368364023
2017/2/3,-14.145752007766278
2017/2/15,-15.664051900111293
2017/2/27,-17.11152292635793
2017/3/11,-18.419326988994445
2017/3/17,-19.762791737724623
2017/3/23,-21.14728603016315
2017/3/29,-22.423868037477305
2017/4/4,-23.626323118357444
2017/4/10,-24.89260757389204
2017/4/16,-26.214624073266812
2017/4/22,-27.5465030529724
2017/4/28,-28.91918826871049
2017/5/4,-30.20851155463105
2017/5/10,-31.40609065106382
2017/5/16,-32.59728881657544
2017/5/22,-33.75267695006784
2017/5/28,-35.167843778642066
2017/6/3,-36.88000920964453
2017/6/9,-38.72788028076782
2017/6/15,-40.797711098428856
2017/6/21,-42.93797446099201
2017/6/27,-45.1386984781013
2017/7/3,-47.55335781170516
2017/7/9,-50.15349118038479
2017/7/15,-52.69510653733876
2017/7/21,-55.17948408030959
2017/7/27,-57.7079011110984
2017/8/2,-60.22170595527376
2017/8/8,-62.90736132855496
2017/8/14,-65.77910014850303
2017/8/20,-68.6973572625234
2017/8/26,-71.70553323433231
2017/9/1,-74.70091751881706
2017/9/7,-77.65916457054884
2017/9/13,-80.66082838474094
2017/9/19,-83.67347737639817
2017/9/25,-86.7251584433388
2017/10/1,-89.82175615595925
2017/10/7,-92.9199456026937
2017/10/13,-96.02500535273724
2017/10/19,-99.2650790201148
2017/10/25,-102.6444750121497
2017/10/31,-106.10433378969526
2017/11/6,-109.67727134839616
2017/11/12,-113.27737004972896
2017/11/18,-116.89806246983792
2017/11/24,-120.60923442859534
2017/11/30,-124.39171397171091
2017/12/6,-128.47088435030204
2017/12/12,-132.87832752386907
2017/12/24,-137.4954252891139
2017/12/30,-142.39037148571848
2018/1/5,-147.45121781091552
2018/1/11,-152.673486894685
2018/1/17,-158.17650109084784
2018/1/23,-163.9416979019057
2018/1/29,-169.7809474124864
2018/2/4,-175.69759038059945
2018/2/10,-181.7743116924024
2018/2/16,-187.96785895909096
2018/2/22,-194.42616161708096
2018/2/28,-201.16314425260825
2018/3/6,-208.072584153262
2018/3/12,-215.19102872962043
2018/3/18,-221.75234620806464
2018/3/24,-227.6693417525388
