date,OT
2015/2/9,-6.431391037076259
2015/2/21,-7.666009689438535
2015/3/5,-9.12504910741501
2015/3/17,-10.825622638620208
2015/3/29,-12.619213774468388
2015/4/10,-14.555331087946366
2015/4/22,-16.42471748913095
2015/5/4,-18.19316357472093
2015/5/16,-19.997268775842556
2015/6/9,-21.775114241850027
2015/7/3,-23.616628993785238
2015/7/15,-25.53252986270937
2015/8/8,-27.422974330194
2015/8/20,-29.306195609861387
2015/9/1,-31.39378325742849
2015/9/13,-33.690379145064526
2015/10/31,-36.10585881530648
2015/11/12,-38.69383245344484
2015/11/24,-41.30534040192938
2015/12/6,-43.93053807565924
2015/12/18,-46.688386141283154
2015/12/30,-49.546162524028354
2016/1/11,-52.55868892847626
2016/1/23,-55.745889379194
2016/2/4,-59.05969523724339
2016/2/16,-62.52040723121875
2016/2/28,-66.12640723929965
2016/3/11,-69.87652881727075
2016/3/23,-73.79164798771644
2016/4/4,-77.87372786040275
2016/4/16,-82.04108574049992
2016/4/28,-86.29224051595759
2016/5/10,-90.67032209428488
2016/5/22,-95.15608424978448
2016/6/3,-99.80561541080968
2016/6/15,-104.62575204775736
2016/7/9,-109.57411377327334
2016/7/21,-114.6650980570433
2016/8/2,-119.35803520259152
2016/8/14,-123.59390142801684
2016/8/26,-127.63714882178336
2016/9/7,-131.3302117604132
2016/9/19,-134.9753005713883
2016/10/1,-138.5851833157776
2016/10/7,-141.86506033837574
2016/10/13,-144.86946263450446
2016/10/19,-148.00761591995686
2016/10/25,-151.27056985137773
2016/10/31,-154.4902198685375
2016/11/6,-157.76155063619808
2016/11/12,-160.75622528021267
2016/11/18,-163.4470158602851
2016/11/24,-166.0704083802442
2016/11/30,-168.54740921025626
2016/12/6,-171.38846808452018
2016/12/12,-174.6662111953122
2016/12/18,-178.08010528820532
2016/12/24,-181.78030475776708
2016/12/30,-185.5221462478816
2017/1/5,-189.2850546746661
2017/1/11,-193.32595821714435
2017/1/23,-197.597789667262
2017/1/29,-201.6366645298401
2017/2/4,-205.4391728934872
2017/2/16,-209.20070058474772
2017/2/22,-212.80702025766496
2017/2/28,-216.59977704132663
2017/3/6,-220.60368422426325
2017/3/12,-224.5556168954669
2017/3/18,-228.53324344726585
2017/3/24,-232.7568239600157
2017/3/30,-237.22059530213212
2017/4/5,-241.87783486272627
2017/4/11,-246.78585407443865
2017/4/17,-251.7573322831149
2017/4/23,-256.79229309804805
2017/4/29,-262.0359965312053
2017/5/5,-267.4534566616184
2017/5/11,-272.9858438039931
2017/5/17,-278.64792962653945
2017/5/23,-284.44772169651355
2017/5/29,-290.3763440807936
2017/6/4,-296.5139671411673
2017/6/10,-302.86670820083816
2017/6/16,-309.3908602622841
