date,OT
2015/3/22,-9.45775912195776
2015/4/3,-10.558290670429557
2015/4/15,-11.854114041636096
2015/4/27,-13.3601357925214
2015/5/9,-14.947336226338363
2015/5/21,-16.658675508435284
2015/6/2,-18.22213438777127
2015/6/14,-19.598680419215626
2015/6/26,-20.949107108303057
2015/7/8,-22.1933144062463
2015/7/20,-23.46105011007853
2015/8/1,-24.76333059355065
2015/8/13,-25.963468576177792
2015/8/25,-27.086417829311287
2015/9/6,-28.3807604600679
2015/9/18,-29.84844914305464
2015/9/30,-31.384614291693897
2015/10/12,-33.050508881719
2015/10/24,-34.66335302100632
2015/11/5,-36.20991670920365
2015/11/17,-37.83110931746259
2015/11/29,-39.485394200455474
2015/12/23,-41.67299574731511
2016/1/4,-44.46066275227356
2016/1/16,-47.58454391872037
2016/1/28,-51.19406970389463
2016/2/9,-55.03592097487959
2016/2/21,-59.09824637521887
2016/3/4,-63.64524639182614
2016/3/16,-68.63311451102358
2016/3/28,-73.65026781408264
2016/4/9,-78.70298243698622
2016/4/21,-83.9685671891473
2016/5/3,-89.35129120099083
2016/5/15,-95.17327919785605
2016/5/27,-101.46315505427548
2016/6/8,-107.98727814955798
2016/7/14,-114.82395284454958
2016/7/26,-121.43732228233564
2016/8/7,-127.75261497791564
2016/8/19,-134.08211399575342
2016/8/31,-140.2684864492616
2016/9/12,-146.57273907489014
2016/9/24,-153.01623497865515
2016/9/30,-159.32747141953843
2016/10/6,-165.5567228140374
2016/10/18,-172.1885330756478
2016/10/30,-179.22621245012655
2016/11/11,-186.4664764760808
2016/11/23,-194.02863000146036
2016/12/5,-201.5549020595788
2016/12/17,-209.01959336093736
2016/12/29,-216.69802749853332
2017/1/10,-224.508935831089
2017/2/3,-232.29048114203567
2017/2/15,-240.055766020664
2017/2/27,-247.8216298422105
2017/3/11,-255.5481069395737
2017/3/17,-263.392039264852
2017/3/23,-271.3521071851717
2017/3/29,-279.314248827431
2017/4/4,-287.30816367343687
2017/4/10,-295.3465549708413
2017/4/16,-303.41558696415547
2017/4/22,-311.5269224972039
2017/4/28,-319.6788034871063
2017/5/4,-327.8276924986019
2017/5/10,-335.9707431936576
2017/5/16,-344.1253526994078
2017/5/22,-352.27938499448425
2017/5/28,-361.1892633537739
2017/6/3,-370.9306790340263
2017/6/9,-381.13815265933886
2017/6/15,-392.0290306777478
2017/6/21,-403.17040044520354
2017/6/27,-414.5425402579382
2017/7/3,-426.5584286466239
2017/7/9,-439.1377902027
2017/7/15,-451.73061334101646
2017/7/21,-464.34953134887786
2017/7/27,-477.2143933548288
2017/8/2,-490.1969335151576
2017/8/8,-503.74071735990617
2017/8/14,-517.8805480822821
2017/8/20,-532.2960897614408
2017/8/26,-547.0928434772759
2017/9/1,-560.5913327700501
2017/9/7,-572.590528681468
2017/9/13,-583.9572342438879
2017/9/19,-594.1993818326023
2017/9/25,-604.2115735024178
2017/10/1,-614.0393445592244
2017/10/7,-622.7876683911048
2017/10/13,-630.618900209436
2017/10/19,-638.8654344539165
2017/10/25,-647.5078419326802
2017/10/31,-655.991311784498
2017/11/6,-664.6291740903908
2017/11/12,-672.3759024352771
2017/11/18,-679.1459328928388
2017/11/24,-685.7036582281468
2017/11/30,-691.7998554904423
2017/12/6,-698.2665409688445
2017/12/12,-705.2578714601265
2017/12/24,-712.1921467355016
2017/12/30,-719.3195244107212
2018/1/5,-726.3216784020354
2018/1/11,-733.152303427482
