date,OT
2015/2/9,-3.095192381675648
2015/2/21,-3.646786591385991
2015/3/5,-4.301817155820785
2015/3/17,-5.068520625133447
2015/3/29,-5.874760373485428
2015/4/10,-6.744293075871104
2015/4/22,-7.647420494708449
2015/5/4,-8.57476253606466
2015/5/16,-9.55869702643
2015/6/9,-10.589962348236469
2015/7/3,-11.670889414663971
2015/7/15,-12.805094062326454
2015/8/8,-13.983720443458012
2015/8/20,-15.20814757797868
2015/9/1,-16.529475535881907
2015/9/13,-17.95143080234032
2015/10/31,-19.45113367989181
2015/11/12,-21.04276350039625
2015/11/24,-22.69620975787967
2015/12/6,-24.410208350483053
2015/12/18,-26.2124833389585
2015/12/30,-28.09736660756564
2016/1/11,-30.14778141407284
2016/1/23,-32.37675543690744
2016/2/4,-34.74272409962838
2016/2/16,-37.271857976699366
2016/2/28,-39.92527122042379
2016/3/11,-42.70281781911331
2016/3/23,-45.649109743514735
2016/4/4,-48.758942908146174
2016/4/16,-51.96483673726737
2016/4/28,-55.26939473812314
2016/5/10,-58.70446039827116
2016/5/22,-62.25561270360608
2016/6/3,-65.97835930226535
2016/6/15,-69.8792482561641
2016/7/9,-73.92085065958314
2016/7/21,-78.11796807131397
2016/8/2,-82.16813832199297
2016/8/14,-86.0384639393253
2016/8/26,-89.88316048298118
2016/9/7,-93.61510809900948
2016/9/19,-97.4024186405438
2016/10/1,-101.25448927107465
2016/10/7,-105.0089205788721
2016/10/13,-108.69754349689768
2016/10/19,-112.55701278224694
2016/10/25,-116.58468289138094
2016/10/31,-120.68518739977848
2016/11/6,-124.91510286255722
2016/11/12,-129.0895352287554
2016/11/18,-133.19482612353323
2016/11/24,-137.3680163518005
2016/11/30,-141.5661181197455
2016/12/6,-145.891800466543
2016/12/12,-150.36895783680256
2016/12/18,-154.9172791853884
2016/12/24,-159.56897116210328
2016/12/30,-164.2954768755858
2017/1/5,-169.09077842710442
2017/1/11,-173.99813246028268
2017/1/23,-179.01202381715584
2017/1/29,-184.0060702395797
2017/2/4,-188.97598438648475
2017/2/16,-193.97949829396464
2017/2/22,-198.98437551750317
2017/2/28,-204.075294309758
2017/3/6,-209.258595432264
2017/3/12,-214.4652507289492
2017/3/18,-219.7140606815684
2017/3/24,-225.0860904400013
2017/3/30,-230.5813197210923
2017/4/5,-236.17478682252647
2017/4/11,-241.8875335156331
2017/4/17,-247.656234661142
2017/4/23,-253.4793643569055
2017/4/29,-259.4070029145102
2017/5/5,-265.4266252151492
2017/5/11,-271.5060981820069
2017/5/17,-277.6489599481712
2017/5/23,-283.86269546041194
2017/5/29,-290.1404960192224
2017/6/4,-296.5155664624342
2017/6/10,-302.9897054317876
2017/6/16,-309.54134212553845
2017/6/22,-316.1782906276633
2017/6/28,-322.9292849764197
2017/7/4,-329.7957664879824
2017/7/10,-336.77052146839515
2017/7/16,-343.86205554308856
2017/7/22,-351.0494663742659
2017/7/28,-358.3334946530352
2017/8/3,-365.7328642550126
2017/8/9,-373.2444481296759
2017/8/15,-380.8550172221609
2017/8/21,-388.5667169135057
2017/8/27,-396.3849324974416
2017/9/2,-404.3075841626271
2017/9/8,-412.34938840932745
2017/9/14,-420.5122843743361
2017/9/20,-428.7881792686812
2017/9/26,-437.1813818148962
2017/10/2,-445.0970969016872
2017/10/8,-452.4743760588293
2017/10/14,-459.5953660484571
2017/10/20,-466.2875658673772
2017/10/26,-472.891076281113
2017/11/1,-479.41892631642577
2017/11/13,-485.5437026037045
2017/11/25,-491.3266781574456
2017/12/1,-497.1993844203385
2017/12/7,-503.1498683854501
2017/12/13,-509.0027563164608
2017/12/19,-514.8571442745964
2017/12/25,-520.3611169961362
2017/12/31,-525.4851856089205
2018/1/6,-530.4799625584759
2018/1/12,-535.2601886216448
2018/1/18,-540.7514327040549
2018/1/24,-547.0693381463622
2018/1/30,-553.7137616395255
2018/2/5,-560.9550959626284
2018/2/11,-568.3128481884685
2018/2/17,-575.7566860369693
2018/2/23,-583.7708656330844
2018/3/1,-592.2654793799802
2018/3/7,-600.4721799696919
2018/3/13,-608.3951555738872
2018/3/19,-616.3533485742299
2018/3/25,-624.1621387578214
2018/3/31,-632.4096789339991
2018/4/6,-641.1409446363477
2018/4/12,-649.9161027461125
2018/4/18,-658.8721544073785
2018/4/24,-667.7813848100169
2018/4/30,-676.5770833348413
2018/5/6,-685.4685350024494
2018/5/12,-694.3816090132826
2018/5/18,-703.349976119981
2018/5/24,-712.3905078912114
2018/5/30,-721.419865705641
2018/6/5,-730.4451363567305
2018/6/11,-739.8015854164479
2018/6/17,-749.5051440894515
2018/6/23,-759.3986403777176
2018/6/29,-769.5694293467178
2018/7/5,-779.8035275468555
2018/7/11,-790.0853399049615
2018/7/17,-800.595389027518
2018/7/23,-811.2873075935438
2018/7/29,-821.7691867485098
2018/8/4,-832.02420363821
2018/8/10,-842.2051035871975
2018/8/16,-852.2058586637909
2018/8/22,-862.297010720265
2018/8/28,-872.4880429787621
2018/9/3,-882.5499195809732
2018/9/9,-892.5355475110613
2018/9/15,-902.6594985363748
2018/9/21,-912.9101711919214
2018/9/27,-923.2172104467368
2018/10/3,-933.6294294810408
2018/10/9,-943.9557561006256
2018/10/15,-954.184077907822
2018/10/21,-964.4473102056616
2018/10/27,-974.7008307382864
2018/11/2,-985.0265076505456
2018/11/8,-995.444075072996
2018/11/14,-1005.8807904710164
2018/11/20,-1016.3613520344918
2018/12/2,-1026.8674903114206
2018/12/8,-1037.3918973564869
2018/12/14,-1047.964746004427
2018/12/20,-1058.58098126422
2018/12/26,-1069.1336829792606
2019/1/1,-1079.617097088763
2019/1/7,-1090.0783056102214
2019/1/13,-1100.4886242276418
2019/1/19,-1110.9152591860875
2019/1/25,-1121.3617214165051
2019/1/31,-1131.7694297604646
2019/2/6,-1142.1519044655086
2019/2/12,-1152.8620711513895
2019/2/18,-1163.9276837153714
2019/2/24,-1175.1916302685554
2019/3/2,-1186.7532686758102
2019/3/8,-1198.393907950923
2019/3/14,-1210.104874779057
2019/3/20,-1222.084794565598
2019/3/26,-1234.292341602153
2019/4/1,-1246.4930554330915
2019/4/7,-1258.6945954985483
2019/4/13,-1270.9856987241712
2019/4/19,-1283.312145018838
2019/4/25,-1295.8692580724949
2019/5/1,-1308.6714832717826
2019/5/7,-1321.5795977832954
2019/5/13,-1334.6398500270648
2019/5/19,-1348.0503691033264
2019/5/25,-1361.8195054394384
2019/5/31,-1375.8905348452906
2019/6/6,-1390.3201304319468
2019/6/12,-1404.9659090171613
2019/6/18,-1419.829997062464
2019/6/24,-1435.0371559983892
2019/6/30,-1450.5640754586393
2019/7/6,-1466.3231148986597
2019/7/12,-1482.3270814490584
2019/7/18,-1498.60827554999
2019/7/24,-1515.1516501766264
2019/7/30,-1532.0519530760462
2019/8/5,-1549.320011967748
2019/8/11,-1566.9013141473752
2019/8/17,-1584.8223308327165
2019/8/23,-1602.097820013851
2019/8/29,-1618.626661103267
2019/9/4,-1634.8939080923778
2019/9/10,-1650.6164412320306
2019/9/16,-1666.3539848441842
2019/9/22,-1682.134199945201
