date,OT
2015/3/22,-1.1032149830865348
2015/4/3,-1.904155635695457
2015/4/15,-2.846797494435326
2015/4/27,-3.941750021872657
2015/5/9,-5.09746981372471
2015/5/21,-6.344621484165447
2015/6/2,-7.266336739049414
2015/6/14,-7.811984304459245
2015/6/26,-8.200500519637272
2015/7/8,-8.309925012973423
2015/7/20,-8.360501807508408
2015/8/1,-8.364477072317909
2015/8/13,-8.101134936400202
2015/8/25,-7.610961295264421
2015/9/6,-7.230824690947777
2015/9/18,-6.957090501864022
2015/9/30,-6.649764683673721
2015/10/12,-6.388797790681667
2015/10/24,-5.912488544113104
2015/11/5,-5.200029597347156
2015/11/17,-4.444560505382191
2015/11/29,-3.5843032030134254
2015/12/23,-3.3590588900884444
2016/1/4,-3.863006313732032
2016/1/16,-4.703154937220551
2016/1/28,-6.097613524930678
2016/2/9,-7.664084582939503
2016/2/21,-9.381618142720551
2016/3/4,-11.6399962514914
2016/3/16,-14.37009986540748
2016/3/28,-16.9641620090653
2016/4/9,-19.42866538901509
2016/4/21,-22.019687526650173
2016/5/3,-24.59348295044406
2016/5/15,-27.6211724197178
2016/5/27,-31.141454552703745
2016/6/8,-34.80740240933733
2016/7/14,-38.73102537080285
2016/7/26,-42.37484333740392
2016/8/7,-45.65180078026232
2016/8/19,-48.89934475511036
2016/8/31,-51.956821279499394
2016/9/12,-55.05953597827315
2016/9/24,-58.230811730331766
2016/9/30,-61.20860969485017
2016/10/6,-64.0379281611019
2016/10/18,-67.24586209343616
2016/10/30,-70.83983943309384
2016/11/11,-74.5923667416443
2016/11/23,-78.63430834424301
2016/12/5,-82.58637246864498
2016/12/17,-86.4206305044416
2016/12/29,-90.43301473953608
2017/1/10,-94.53759644524364
2017/2/3,-98.72327451071104
2017/2/15,-103.02169225711422
2017/2/27,-107.3763985721728
2017/3/11,-111.79256088344518
2017/3/17,-116.34609407532942
2017/3/23,-121.03336710195568
2017/3/29,-125.82277586063896
2017/4/4,-130.73054608965606
2017/4/10,-135.6526914138236
2017/4/16,-140.57872301446938
2017/4/22,-145.5706280636526
2017/4/28,-150.600358598566
2017/5/4,-155.7191721641464
2017/5/10,-160.93326760696343
2017/5/16,-166.1934517199087
2017/5/22,-171.51129598016462
2017/5/28,-176.92530996283838
2017/6/3,-182.432531981584
2017/6/9,-188.02240716645832
2017/6/15,-193.7035032332532
2017/6/21,-199.4418978077013
2017/6/27,-205.23588629633375
