date,OT
2015/3/22,-0.6114663988985876
2015/4/3,-0.6317659423003112
2015/4/15,-0.6568964761522583
2015/4/27,-0.6873310500357953
2015/5/9,-0.7186912984970191
2015/5/21,-0.752348895543527
2015/6/2,-0.8326982553141979
2015/6/14,-0.963883869707812
2015/6/26,-1.1261932827752106
2015/7/8,-1.3324873851049095
2015/7/20,-1.5564263283242774
2015/8/1,-1.7972905647227246
2015/8/13,-2.0800613367639995
2015/8/25,-2.400096692332176
2015/9/6,-2.727341673819889
2015/9/18,-3.063035242275083
2015/9/30,-3.4193056334841474
2015/10/12,-3.789456823091655
2015/10/24,-4.1988903813154845
2015/11/5,-4.649863783973291
2015/11/17,-5.12480425547841
2015/11/29,-5.630013620078211
2015/12/23,-6.336717828695235
2016/1/4,-7.261306104250519
2016/1/16,-8.328886706564594
2016/1/28,-9.5894573092026
2016/2/9,-10.941901042454411
2016/2/21,-12.38405425877461
2016/3/4,-14.012730908697442
2016/3/16,-15.81057500528298
2016/3/28,-17.66256106166177
2016/4/9,-19.5740302209822
2016/4/21,-21.59214595218381
2016/5/3,-23.69171898339826
2016/5/15,-25.97107481132042
2016/5/27,-28.43945410338805
2016/6/8,-31.02980004970705
2016/7/14,-33.76692539328691
2016/7/26,-36.48395934526209
2016/8/7,-39.15947702145712
2016/8/19,-41.89207581498938
2016/8/31,-44.63398002816
2016/9/12,-47.46938763660771
2016/9/24,-50.40641144310665
2016/9/30,-53.36106613002183
2016/10/6,-56.35077363186197
2016/10/18,-59.52572751610493
2016/10/30,-62.888119268099366
2016/11/11,-66.37733583225017
2016/11/23,-70.0313541611297
2016/12/5,-73.74121271657653
2016/12/17,-77.50044000959478
2016/12/29,-81.3951630737739
2017/1/10,-85.40171376710876
2017/2/3,-89.2282765514253
2017/2/15,-92.85519691956078
2017/2/27,-96.40276811026236
2017/3/11,-99.78915077112848
2017/3/17,-103.2032637861833
2017/3/23,-106.6507436416434
2017/3/29,-109.96319801418822
2017/4/4,-113.17578031380089
2017/4/10,-116.46835849678772
2017/4/16,-119.8324813738382
2017/4/22,-123.20156869316249
2017/4/28,-126.61605962887973
2017/5/4,-129.9201290017444
2017/5/10,-133.10172109717163
2017/5/16,-136.26884784292614
2017/5/22,-139.38386585116083
2017/5/28,-142.9144242465165
2017/6/3,-146.9169577949564
2017/6/9,-151.142880328197
2017/6/15,-155.7283451943585
2017/6/21,-160.42692051021427
2017/6/27,-165.22370247722614
2017/7/3,-170.36475070366458
2017/7/9,-175.8039732466524
2017/7/15,-181.16251184005824
2017/7/21,-186.44347436114484
2017/7/27,-191.803150958712
2017/8/2,-197.15092215860707
2017/8/8,-202.77915712587023
2017/8/14,-208.71028572519785
2017/8/20,-214.72685973009337
2017/8/26,-220.8971992448753
2017/9/1,-226.9319074603661
2017/9/7,-232.78014789360932
2017/9/13,-238.6287404159064
2017/9/19,-244.3898197421547
2017/9/25,-250.1816042605737
2017/10/1,-256.01625837178244
2017/10/7,-261.75507866208847
2017/10/13,-267.4198722215438
2017/10/19,-273.3034319773162
2017/10/25,-279.4099534426024
2017/10/31,-285.6102466295799
2017/11/6,-291.97660714017326
2017/11/12,-298.2992757586153
2017/11/18,-304.56181900876686
2017/11/24,-310.927351012209
2017/11/30,-317.34772755324434
2017/12/6,-323.67908013031143
2017/12/12,-329.92417788432454
2017/12/24,-336.1152049476081
2017/12/30,-342.21444978726805
2018/1/5,-348.341510928405
2018/1/11,-354.4963533014577
2018/1/17,-360.5851162070351
2018/1/23,-366.6299592330757
2018/1/29,-372.6702275793137
2018/2/4,-378.6962578113128
2018/2/10,-384.70174009400296
2018/2/16,-390.69257850656135
2018/2/22,-396.6159766934868
2018/2/28,-402.46765162525537
2018/3/6,-408.276320222386
2018/3/12,-414.0279453872705
2018/3/18,-419.8740050458935
2018/3/24,-425.8299500641662
2018/3/30,-431.8122067980156
2018/4/5,-437.8628645409224
2018/4/11,-443.8982067722071
2018/4/17,-449.9108699955229
2018/4/23,-455.9791242673471
2018/4/29,-462.0852603133369
2018/5/5,-468.1075434495712
2018/5/11,-474.04497761829487
2018/5/17,-479.9438841240358
2018/5/23,-485.7734729343924
2018/5/29,-491.62426176641065
2018/6/4,-497.5009653854905
2018/6/10,-503.33248829089183
2018/6/16,-509.13819669000463
2018/6/22,-515.2068709189195
2018/6/28,-521.5595386063152
2018/7/4,-528.0742025715633
2018/7/10,-534.8322599360711
2018/7/16,-541.6498746875268
2018/7/22,-548.5212661151797
2018/7/28,-555.6119639422917
2018/8/3,-562.8878444507574
2018/8/9,-570.1647963358226
2018/8/15,-577.4506110122379
2018/8/21,-584.8145972040896
2018/8/27,-592.2150763994065
2018/9/2,-599.8094589471209
2018/9/8,-607.609992519623
2018/9/14,-615.5067710600271
2018/9/20,-623.5377404741708
2018/9/26,-631.9088344633437
2018/10/2,-640.632600759575
2018/10/8,-649.642906756102
2018/10/14,-658.999660114607
2018/10/20,-668.5633733819265
2018/10/26,-678.3358676525921
2018/11/1,-688.4437020730635
2018/11/7,-698.8645388811689
2018/11/13,-709.4952285840803
2018/11/19,-720.3480272971842
2018/11/25,-731.4637886110505
2018/12/1,-742.8237224556322
2018/12/7,-754.5325169434557
2018/12/13,-766.6022640141867
2018/12/19,-778.970635153317
2018/12/25,-791.6666365445674
2018/12/31,-803.4676763376157
2019/1/6,-814.2475129272192
2019/1/12,-824.6041670603589
2019/1/18,-834.1853035756343
2019/1/24,-843.6850682353698
2019/1/30,-853.1360406251491
2019/2/5,-861.872439174495
2019/2/11,-870.0229790742061
2019/2/17,-878.4987670544856
2019/2/23,-887.2815853839364
2019/3/1,-896.004945058502
2019/3/7,-904.8824335084936
2019/3/13,-913.185156996558
2019/3/19,-920.8561808924692
2019/3/25,-928.4248502137668
2019/3/31,-935.7183782702456
2019/4/6,-943.8489510638448
2019/4/12,-952.9784885134565
2019/4/24,-962.4538349775278
2019/4/30,-972.6043902678438
2019/5/6,-982.9044522496532
2019/5/12,-993.311861590984
2019/5/18,-1004.386445433882
2019/5/24,-1016.0293519632982
2019/5/30,-1027.2318269134278
2019/6/5,-1037.988883245247
2019/6/11,-1048.730032596526
2019/6/17,-1059.208900698722
2019/6/23,-1070.1722895840787
2019/6/29,-1081.6769030603775
2019/7/5,-1093.152156681963
2019/7/11,-1104.769979953099
2019/7/17,-1116.4138517385527
2019/7/23,-1128.0122605152494
2019/7/29,-1139.7461761289906
2019/8/4,-1151.5686378567234
2019/8/10,-1163.4170843793686
2019/8/16,-1175.3058080309297
2019/8/22,-1187.222554214312
2019/8/28,-1199.1544895576892
2019/9/3,-1211.4058991004367
2019/9/9,-1223.998001207659
2019/9/15,-1236.7748908982503
2019/9/21,-1249.8174554325506
2019/9/27,-1262.9491570450357
2019/10/3,-1276.1551651063337
2019/10/9,-1289.5922917237965
2019/10/15,-1303.2223798180128
2019/10/21,-1316.634796310639
2019/10/27,-1329.8088523938582
2019/11/2,-1342.9122197647584
2019/11/8,-1355.8333231232132
2019/11/14,-1368.8475438739615
2019/11/20,-1381.9657120618515
2019/11/26,-1394.9515783501088
2019/12/2,-1407.8591788206495
2019/12/8,-1420.9220869238677
2019/12/14,-1434.129337902838
2019/12/20,-1447.402221518674
2019/12/26,-1460.7944404577129
2020/1/1,-1474.1023116891986
2020/1/7,-1487.312897095547
2020/1/13,-1500.569526899752
2020/1/19,-1513.824864542842
2020/1/25,-1527.7336106092907
2020/1/31,-1542.3757995211795
2020/2/6,-1557.409159312234
2020/2/12,-1573.025725861551
2020/2/18,-1588.8822096313827
2020/2/24,-1604.9603934337536
2020/3/1,-1621.6065782344358
2020/3/7,-1638.7584795726557
2020/3/13,-1655.894931149656
2020/3/19,-1673.023146624006
2020/3/25,-1690.3609244045024
2020/3/31,-1707.7856220503602
2020/4/6,-1725.7048741492188
2020/4/12,-1744.152167667962
2020/4/18,-1762.829071670608
2020/4/24,-1781.832762850532
2020/4/30,-1800.2177860440786
2020/5/6,-1817.860007482501
2020/5/12,-1835.27648616189
2020/5/18,-1852.188693516213
2020/5/24,-1869.075963422598
2020/5/30,-1885.9682270231376
2020/6/5,-1902.373282485083
2020/6/11,-1918.3792911261132
2020/6/17,-1934.7862091873767
2020/6/23,-1951.5898569969104
2020/6/29,-1968.453336558733
2020/7/5,-1985.5682181541324
2020/7/11,-2002.323670016596
2020/7/17,-2018.6713057006505
2020/7/23,-2035.066963117228
2020/7/29,-2051.3672960805334
2020/8/4,-2068.129389543132
2020/8/10,-2085.45457410595
2020/8/16,-2102.97399217349
2020/8/22,-2120.857268419958
2020/8/28,-2138.88400361862
2020/9/3,-2157.0293641125745
2020/9/9,-2175.556906641689
2020/9/15,-2194.4255249167195
2020/9/21,-2213.0540804556526
2020/9/27,-2231.4321589057586
2020/10/3,-2249.816881952845
2020/10/9,-2268.0637388039427
2020/10/15,-2286.584539251362
2020/10/21,-2305.410956326909
2020/10/27,-2324.219901747955
2020/11/2,-2343.105145825161
2020/11/8,-2361.617470412983
2020/11/14,-2379.674871751605
2020/11/20,-2397.5547822666126
2020/11/26,-2415.117191030596
2020/12/2,-2432.5438909768422
2020/12/8,-2449.847854406618
2020/12/14,-2466.8081081048404
2020/12/20,-2483.453900704383
2020/12/26,-2500.231958493882
2021/1/1,-2517.143506847943
2021/1/7,-2533.984491574581
2021/1/13,-2550.8613652857825
2021/1/19,-2567.4444246062258
2021/1/25,-2583.703217236376
2021/1/31,-2599.884796961662
2021/2/6,-2615.9095628526857
2021/2/12,-2632.6760810956293
2021/2/18,-2650.29939935287
2021/2/24,-2668.297766989572
2021/3/2,-2686.9358098968487
2021/3/8,-2705.7490767643085
2021/3/14,-2724.710733527196
2021/3/20,-2744.293434452955
2021/3/26,-2764.412311068839
2021/4/1,-2784.316087835738
2021/4/7,-2804.0104879921496
2021/4/13,-2823.811244598913
2021/4/19,-2843.539307052958
2021/4/25,-2863.7727001904464
2021/5/1,-2884.557703232911
2021/5/7,-2905.465403262517
2021/5/13,-2926.6320819136618
2021/5/19,-2947.4376994808144
2021/5/25,-2967.777878057469
2021/5/31,-2988.046232395317
2021/6/6,-3008.055949531778
2021/6/12,-3028.0704233331608
2021/6/18,-3048.1159199456474
2021/6/24,-3067.8920963924206
2021/6/30,-3087.4483689527383
2021/7/6,-3107.4016002732737
2021/7/12,-3127.7603600036355
2021/7/18,-3148.255406267578
2021/7/24,-3169.039361513311
2021/7/30,-3189.668855437128
2021/8/5,-3210.110105357833
2021/8/11,-3230.7081529859342
2021/8/17,-3251.361797489953
2021/8/23,-3272.6398068927065
2021/8/29,-3294.6383185906398
2021/9/4,-3317.018238650144
2021/9/10,-3339.954512049872
2021/9/16,-3363.201569278745
2021/9/22,-3386.743137037002
2021/9/28,-3410.863811050724
2021/10/4,-3435.5227114023846
2021/10/10,-3460.179233834147
2021/10/16,-3484.833565514787
2021/10/22,-3509.7286939911046
2021/10/28,-3534.736089825933
2021/11/3,-3560.259214042218
2021/11/9,-3586.334514732016
2021/11/15,-3612.6610233365145
2021/11/21,-3639.3359017052057
2021/11/27,-3662.095925705216
2021/12/3,-3680.474874023576
2021/12/9,-3696.540715924511
2021/12/15,-3709.048040515499
2021/12/21,-3720.375087632431
